data_year,victim_id,injury_id
2023,186718920,5
2023,186718946,4
2023,184826620,5
2023,184826625,5
2023,184826626,5
2023,184826627,5
2023,184826628,5
2023,186718707,4
2023,188702832,5
2023,207564757,4
2023,186718687,5
2023,186718699,4
2023,186718786,5
2023,186718787,5
2023,188702483,5
2023,188702519,4
2023,192822982,5
2023,186718821,5
2023,186718844,4
2023,188702558,4
2023,188702548,4
2023,188702901,4
2023,188702506,4
2023,188702839,4
2023,188702856,5
2023,198770822,5
2023,188702559,4
2023,188702560,5
2023,188702599,5
2023,188702574,5
2023,188702591,4
2023,188702597,5
2023,190219309,5
2023,188702625,4
2023,190219337,4
2023,188702641,5
2023,188702659,5
2023,188702604,4
2023,190219510,4
2023,192822715,5
2023,188702672,5
2023,207564585,4
2023,188702736,5
2023,188702761,4
2023,190219563,4
2023,190219615,5
2023,190219380,4
2023,191714288,4
2023,190219458,4
2023,190219465,4
2023,195100338,5
2023,190219425,5
2023,190219495,5
2023,191714334,5
2023,191714340,5
2023,191714341,5
2023,191714355,5
2023,191714198,5
2023,209129669,5
2023,209129670,4
2023,209129672,5
2023,195100318,4
2023,195100319,4
2023,191714377,4
2023,191714274,5
2023,207564549,4
2023,192822757,5
2023,192822813,4
2023,191714388,5
2023,191714397,5
2023,192822824,5
2023,192822825,4
2023,191714302,5
2023,195100398,5
2023,192822877,5
2023,191714583,5
2023,191714379,4
2023,191714413,5
2023,191714414,5
2023,196815489,4
2023,196815490,4
2023,201322273,4
2023,209810162,4
2023,202691743,5
2023,192822931,4
2023,192822943,4
2023,195100585,4
2023,192822971,4
2023,192822932,5
2023,198771077,5
2023,198771078,5
2023,209809948,5
2023,192822984,5
2023,195100487,5
2023,195100506,5
2023,195100625,4
2023,195100626,4
2023,195100627,4
2023,195100742,5
2023,195100794,5
2023,202691832,5
2023,202691839,5
2023,202691840,5
2023,195100574,4
2023,195101079,5
2023,195100841,5
2023,195101000,5
2023,196815476,5
2023,195100721,5
2023,195100722,5
2023,195100760,5
2023,195100696,4
2023,196815582,5
2023,196815424,4
2023,196815532,4
2023,196815569,4
2023,209129573,5
2023,196815469,5
2023,196815515,5
2023,209810075,5
2023,196815431,6
2023,196815510,4
2023,198770818,4
2023,196815665,4
2023,201322315,5
2023,196815434,4
2023,196815520,3
2023,196815594,5
2023,196815595,5
