data_year,criminal_act_id,offense_id
2023,6,211217777
2023,9,222016707
2023,9,222016748
2023,1,204603907
2023,6,222016809
2023,7,222016809
2023,9,211217093
2023,6,219499767
2023,6,211217110
2023,6,219499425
2023,3,213193416
2023,3,222016777
2023,7,219499478
2023,9,219499498
2023,7,223597538
2023,9,222016640
2023,9,222016882
2023,8,222016883
2023,9,222016668
2023,6,207217236
2023,9,222016740
2023,3,201098398
2023,8,203092890
2023,9,203092895
2023,6,203092899
2023,1,209496967
2023,9,223597422
2023,6,199196798
2023,9,199196872
2023,9,199196801
2023,9,199196794
2023,9,206112851
2023,9,199196906
2023,9,199196989
2023,9,199196863
2023,8,199196948
2023,9,201100563
2023,9,206112611
2023,6,201100794
2023,6,201100701
2023,6,201100752
2023,6,201100753
2023,6,201100811
2023,9,201100842
2023,6,201100896
2023,6,201100944
2023,6,201100732
2023,8,206112833
2023,6,203094709
2023,9,201100900
2023,8,206112650
2023,6,203094368
2023,8,203094368
2023,6,203094369
2023,9,203094416
2023,9,203094438
2023,9,203094475
2023,9,203094482
2023,9,203094435
2023,6,203094445
2023,9,203094480
2023,9,204606712
2023,10,204606739
2023,9,204606543
2023,9,204606657
2023,9,204606607
2023,9,204606646
2023,9,204606730
2023,6,204606752
2023,9,204606779
2023,9,204606804
2023,6,204606686
2023,9,204606713
2023,6,204606738
2023,9,204606773
2023,9,204606837
2023,9,204606850
2023,8,206112734
2023,8,206112773
2023,9,204606800
2023,9,204606968
2023,9,206112798
2023,9,206112802
2023,9,206112829
2023,6,206112717
2023,9,206112932
2023,9,206112964
2023,1,206112761
2023,9,206112922
2023,8,209473549
2023,9,206112940
2023,9,207220129
2023,9,207220299
2023,6,207220132
2023,9,207220153
2023,8,207220162
2023,9,207220174
2023,6,207220242
2023,11,207220415
2023,6,209473681
2023,6,223604760
2023,9,219505546
2023,6,201084571
2023,9,199180155
2023,9,203079185
2023,9,203079186
2023,6,199180164
2023,3,201084535
2023,3,201084536
2023,4,203079199
2023,6,211211478
2023,3,222009524
2023,9,209491166
2023,6,204592454
2023,9,201084756
2023,8,199180263
2023,9,201084520
2023,9,222009593
2023,6,215757043
2023,9,201084512
2023,8,203079221
2023,9,201084600
2023,9,203079245
2023,6,201084611
2023,9,201084659
2023,9,203079316
2023,9,203079307
2023,9,203079598
2023,6,209491161
2023,6,211211466
2023,8,203079370
2023,5,203079341
2023,9,204592535
2023,6,203079437
2023,9,203079363
2023,8,222009436
2023,9,204592819
2023,9,204592581
2023,6,204592651
2023,9,204592666
2023,6,204592933
2023,4,204592707
2023,4,206097486
2023,9,206097506
2023,6,215757342
2023,9,206097520
2023,6,223590449
2023,2,215757044
2023,6,217128866
2023,7,206097443
2023,6,211211227
2023,6,211211228
2023,9,222009388
