data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,56828427,,51
2023,52563028,,51
2023,52562962,,51
2023,53129033,,51
2023,53129009,,51
2023,53129010,,51
2023,53129023,,51
2023,53577663,,51
2023,53577682,,51
2023,54101330,,3
2023,55063119,,51
2023,56828383,,51
2023,56163921,,51
2023,57263594,,51
2023,51517899,,51
2023,51864727,,51
2023,52268300,,51
2023,52268301,,51
2023,52268302,,51
2023,52268313,,51
2023,52268376,,51
2023,52562072,,51
2023,52562098,,51
2023,53128181,,51
2023,53576851,,51
2023,53576900,,51
2023,53576798,,51
2023,52264532,,51
2023,52264545,,51
2023,56817347,,51
2023,53568769,,51
2023,53568774,,51
2023,55528444,,51
2023,53568785,,51
2023,55528437,,51
2023,56817353,,51
2023,56817354,,51
2023,57253941,,51
2023,57253960,,51
2023,52264529,,51
2023,52264535,,51
2023,55528449,,51
2023,56162939,,51
2023,56826522,,51
2023,55061432,,51
2023,53576669,,51
2023,56826554,,51
2023,55061401,,51
2023,54097807,,51
2023,56826569,,51
2023,56826570,,51
2023,53127500,,51
2023,56826588,,51
2023,53576448,,51
2023,56163003,,51
2023,56826605,,51
2023,56162910,,51
2023,56826538,,51
2023,56826540,,51
2023,56826571,,51
2023,56162916,,51
2023,56162925,,51
2023,56162929,,3
2023,56162934,,51
2023,57262091,,3
2023,56826596,,51
2023,56826551,,51
2023,56826616,,51
2023,56826548,,51
2023,52560602,,51
2023,56826560,,51
2023,51516246,,51
2023,53127537,,51
2023,57262040,,51
2023,53127629,,51
2023,50529111,,51
2023,54103274,,51
2023,57263919,,51
2023,57263920,,51
2023,50524666,,51
2023,51512379,,51
2023,50983413,,3
2023,53574924,,51
2023,51860359,,51
2023,50524722,,3
2023,55058776,,51
2023,50983402,,51
2023,55058823,,51
2023,50983442,,51
2023,51512263,,51
2023,51512239,,51
2023,53574919,,51
2023,53574920,,51
2023,51512187,,51
2023,51512191,,51
2023,51512194,,51
2023,51512195,,51
2023,51512200,,51
2023,56824360,,3
2023,51860445,,51
2023,51860391,,51
2023,51860410,,51
2023,51860524,,51
2023,51860488,,51
2023,51860425,,51
2023,55058859,,51
2023,57260221,,51
2023,55058774,,51
2023,52263578,,51
2023,53574862,,1
2023,52263581,,51
2023,55058853,,51
2023,52557550,,4
2023,52263653,,51
2023,52263654,,51
2023,52263593,,51
2023,53574909,,51
2023,57448523,,3
2023,55058771,,51
2023,55527240,,51
2023,55527247,,51
2023,52557561,,51
2023,53126033,,51
2023,57260289,,51
2023,52557570,,51
2023,53126028,,51
2023,53126103,,51
2023,55058798,,51
2023,53126064,,52
2023,53574880,,51
2023,53574917,,51
2023,53574898,,51
2023,56824395,,51
2023,56824398,,51
2023,56824399,,51
2023,53574951,,51
2023,55058807,,51
2023,53574901,,51
2023,57448524,,51
2023,53574915,,51
2023,53574925,,51
2023,55058944,,51
2023,54094050,,51
2023,55527274,,51
2023,57260258,,51
2023,56824435,,51
2023,54094110,,1
2023,57260292,,51
2023,55058838,,51
2023,55058826,,51
2023,55058836,,51
2023,55058813,,51
2023,55058833,,51
2023,55527294,,51
2023,57448479,,51
2023,55527316,,51
2023,56824391,,51
2023,56824440,,51
2023,56824496,,51
2023,56824413,,51
2023,56824437,,51
2023,56824477,,51
2023,56824494,,51
2023,56824480,,51
2023,56824491,,51
2023,56824422,,51
2023,56824436,,51
2023,56824448,,51
2023,56824461,,51
2023,57263646,,3
2023,54101483,,51
2023,52273996,,51
2023,53573412,,51
2023,56160182,,51
2023,50534535,,51
2023,50534538,,51
2023,50534547,,51
2023,51869809,,51
2023,50534552,,51
2023,50534542,,51
2023,50534546,,51
2023,56160198,,1
2023,56160199,,51
2023,50534566,,51
2023,50534567,,51
2023,52566407,,51
2023,50534569,,51
2023,51869917,,51
2023,51869918,,51
2023,50534584,,51
2023,50534594,,51
2023,50534597,,51
2023,53573350,,51
2023,52566344,,51
2023,52274125,,51
2023,50534621,,51
2023,51525016,,51
2023,50534604,,51
2023,53124348,,51
2023,51869850,,51
2023,52566325,,51
2023,52566331,,51
2023,50534622,,51
2023,52274116,,51
2023,52566354,,51
2023,51869856,,51
2023,50534630,,51
