data_year,weapon_id,offense_id,nibrs_weapon_id
2023,42,204625168,
2023,39,204625487,
2023,41,204625505,
2023,36,204625520,
2023,41,222031523,
2023,42,222031872,
2023,38,204625229,
2023,41,211229058,
2023,39,209504050,
2023,2,209504069,
2023,41,206132915,
2023,2,211229101,
2023,1,207233710,
2023,1,222031571,
2023,42,215778521,
2023,42,211229095,
2023,42,222031702,
2023,42,211229133,
2023,41,211229043,
2023,39,207233803,
2023,4,207233942,
2023,41,209504070,
2023,4,206132980,
2023,41,206132994,
2023,41,206133672,
2023,42,206133038,
2023,41,211229173,
2023,39,206133086,
2023,42,206133142,
2023,41,223616746,
2023,42,211229035,
2023,41,223616596,
2023,41,211229073,
2023,42,219506006,
2023,41,222031875,
2023,1,206133309,
2023,41,211229380,
2023,42,223616702,
2023,41,222031760,
2023,42,211229055,
2023,39,206133340,
2023,39,211229187,
2023,41,223616723,
2023,42,211229244,
2023,42,222031799,
2023,42,222031805,
2023,2,206133395,
2023,42,222031937,
2023,41,206133535,
2023,39,206133573,
2023,42,213215869,
2023,42,209504209,
2023,42,207234063,
2023,42,211229208,
2023,42,213215854,
2023,41,209504132,
2023,42,209504116,
2023,38,222031788,
2023,3,223616794,
2023,3,223616795,
2023,42,222031852,
2023,42,211229126,
2023,41,207233749,
2023,42,211229247,
2023,41,209504219,
2023,41,209504188,
2023,3,223616621,
2023,41,223616621,
2023,42,209504252,
2023,39,211229447,
2023,42,209504163,
2023,41,209504257,
2023,41,209504136,
2023,39,209504180,
2023,42,209504290,
2023,42,211229287,
2023,41,207234024,
2023,39,213215825,
2023,42,222031846,
2023,39,211229236,
2023,41,223616803,
2023,41,207234057,
2023,3,207234058,
2023,41,211229417,
2023,41,207233909,
2023,42,222031843,
2023,41,223616856,
2023,41,222031870,
2023,39,211229406,
2023,41,222031904,
2023,39,211229269,
2023,42,211229246,
2023,41,223616678,
2023,41,207234028,
2023,4,209504192,
2023,1,209504217,
2023,1,209504218,
2023,42,209504153,
2023,39,209504173,
2023,41,209504269,
2023,41,209504296,
2023,41,209504135,
2023,41,209504166,
2023,39,209504225,
