data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,12,182123733,11.460,1,17411869
2023,5,174354101,4535.000,1,16346740
2023,11,174354101,1440.000,1,16346741
2023,5,169853615,10.000,1,15725584
2023,2,171560530,0.010,1,15958346
2023,17,171560530,1.000,9,15958347
2023,1,171560483,0.010,1,15958327
2023,2,171560512,0.010,1,15958343
2023,1,180939830,13.000,1,17236580
2023,2,180939830,0.500,1,17236581
2023,12,169019260,0.500,1,15592558
2023,5,163802292,6.000,1,14848684
2023,2,180939843,1.000,1,17236583
2023,4,180939843,1.000,1,17236584
2023,4,171560477,1.000,1,15958323
2023,2,169019461,6.300,1,15592623
2023,15,169019461,22.000,9,15592624
2023,4,171560488,0.200,1,15958329
2023,4,171560494,0.300,1,15958333
2023,1,171560505,0.030,1,15958335
2023,8,171560524,1.000,9,15958344
2023,4,171560486,0.010,1,15958328
2023,1,163802517,0.010,1,14848727
2023,4,163802517,0.010,1,14848728
2023,1,182124006,1.000,1,17411929
2023,5,172862890,9600.000,1,16145932
2023,17,172862890,3000.000,1,16145933
2023,2,172862804,8.000,1,16145909
2023,1,172862851,0.010,1,16145918
2023,1,182124027,0.010,1,17411935
2023,5,182124027,5.000,1,17411936
2023,5,171560495,0.010,1,15958334
2023,5,182124156,0.010,1,17411956
2023,1,172862941,1.000,1,16145946
2023,5,172862824,2.500,1,16145915
2023,5,171560549,814.000,1,15958360
2023,2,171560476,0.010,1,15958322
2023,2,163803378,0.010,1,14848889
2023,8,180939838,1.000,9,17236582
2023,5,171560510,132.000,1,15958342
2023,12,171560539,28.900,9,15958350
2023,12,171560539,0.010,1,15958351
2023,5,171560537,0.010,1,15958349
2023,13,179038618,0.010,1,16969774
2023,16,179038618,0.010,1,16969775
2023,2,171560480,0.010,1,15958324
2023,12,171560480,0.010,1,15958326
2023,2,171560491,1.100,1,15958330
2023,2,171560509,0.010,1,15958340
2023,5,171560509,0.010,1,15958341
2023,5,174354542,0.010,1,16346806
2023,5,171560525,0.010,1,15958345
2023,1,171560556,0.300,1,15958364
2023,2,171560757,1.000,1,15958488
2023,4,171560757,1.000,1,15958489
2023,5,163803894,0.010,1,14848958
2023,2,171560554,112.000,1,15958362
2023,8,171560554,23.000,9,15958363
2023,1,179038654,3.200,1,16969786
2023,2,179038654,2.800,1,16969787
2023,8,179038654,10.000,9,16969788
2023,5,171560583,3.500,1,15958375
2023,4,171560590,1.000,1,15958376
